fall_term,Male,Female,Total
2013,"14,808","14,867","29,675"
2014,"15,183","15,281","30,464"
2015,"16,417","16,363","32,780"
2016,"16,117","16,770","32,887"
2017,"17,596","18,019","35,615"
2018,"21,306","21,435","42,741"
2019,"21,694","22,227","43,921"
2020,"23,046","22,895","45,941"
2021,"26,118","27,711","53,829"
2022,"29,575","30,685","60,260"
